ID,Updated,Confirmed,ConfirmedChange,Deaths,DeathsChange,Recovered,RecoveredChange,Latitude,Longitude,ISO2,ISO3,Country_Region,AdminRegion1,AdminRegion2
,2003/3/17,167,,4,,,,,,,,Worldwide,,
,2003/3/18,219,,4,,,,,,,,Worldwide,,
,2003/3/19,264,,9,,,,,,,,Worldwide,,
,2003/3/20,306,,10,,,,,,,,Worldwide,,
,2003/3/21,350,,10,,,,,,,,Worldwide,,
,2003/3/22,386,,11,,,,,,,,Worldwide,,
,2003/3/24,456,,17,,,,,,,,Worldwide,,
,2003/3/25,487,,17,,,,,,,,Worldwide,,
,2003/3/26,1323,,49,,,,,,,,Worldwide,,
,2003/3/27,1408,,53,,,,,,,,Worldwide,,
,2003/3/28,1485,,53,,,,,,,,Worldwide,,
,2003/3/29,1550,,54,,,,,,,,Worldwide,,
,2003/3/31,1622,,58,,,,,,,,Worldwide,,
,2003/4/1,1804,,62,,,,,,,,Worldwide,,
,2003/4/2,2223,,78,,,,,,,,Worldwide,,
,2003/4/3,2270,,79,,,,,,,,Worldwide,,
,2003/4/4,2353,,84,,,,,,,,Worldwide,,
,2003/4/5,2416,,84,,,,,,,,Worldwide,,
,2003/4/7,2601,,98,,,,,,,,Worldwide,,
,2003/4/8,2671,,103,,,,,,,,Worldwide,,
,2003/4/9,2722,,106,,,,,,,,Worldwide,,
,2003/4/10,2781,,111,,1337,,,,,,Worldwide,,
,2003/4/11,2890,,116,,1373,,,,,,Worldwide,,
,2003/4/12,2960,,119,,1425,,,,,,Worldwide,,
,2003/4/14,3169,,144,,1499,,,,,,Worldwide,,
,2003/4/15,3235,,154,,1515,,,,,,Worldwide,,
,2003/4/16,3293,,159,,1548,,,,,,Worldwide,,
,2003/4/17,3389,,165,,1597,,,,,,Worldwide,,
,2003/4/18,3547,,182,,1749,,,,,,Worldwide,,
,2003/4/19,3547,,182,,1749,,,,,,Worldwide,,
,2003/4/21,3861,,217,,1873,,,,,,Worldwide,,
,2003/4/22,3947,,229,,1935,,,,,,Worldwide,,
,2003/4/23,4288,,251,,2032,,,,,,Worldwide,,
,2003/4/24,4439,,263,,2117,,,,,,Worldwide,,
,2003/4/25,4649,,274,,2206,,,,,,Worldwide,,
,2003/4/26,4836,,293,,2239,,,,,,Worldwide,,
,2003/4/28,5050,,321,,2342,,,,,,Worldwide,,
,2003/4/29,5462,,353,,2427,,,,,,Worldwide,,
,2003/4/30,5663,,372,,2470,,,,,,Worldwide,,
,2003/5/1,5865,,391,,2563,,,,,,Worldwide,,
,2003/5/2,6054,,417,,2643,,,,,,Worldwide,,
,2003/5/3,6234,,435,,2702,,,,,,Worldwide,,
,2003/5/5,6583,,461,,2764,,,,,,Worldwide,,
,2003/5/6,6727,,478,,2826,,,,,,Worldwide,,
,2003/5/7,6903,,495,,2885,,,,,,Worldwide,,
,2003/5/8,7053,,506,,2959,,,,,,Worldwide,,
,2003/5/9,7183,,514,,3023,,,,,,Worldwide,,
,2003/5/10,7296,,526,,3087,,,,,,Worldwide,,
,2003/5/12,7447,,552,,3195,,,,,,Worldwide,,
,2003/5/13,7548,,573,,3298,,,,,,Worldwide,,
,2003/5/14,7628,,587,,3397,,,,,,Worldwide,,
,2003/5/15,7699,,598,,3484,,,,,,Worldwide,,
,2003/5/16,7739,,611,,3590,,,,,,Worldwide,,
,2003/5/17,7761,,623,,3674,,,,,,Worldwide,,
,2003/5/19,7864,,643,,3847,,,,,,Worldwide,,
,2003/5/20,7919,,662,,3984,,,,,,Worldwide,,
,2003/5/21,7956,,666,,4085,,,,,,Worldwide,,
,2003/5/22,8046,,682,,4210,,,,,,Worldwide,,
,2003/5/23,8117,,689,,4326,,,,,,Worldwide,,
,2003/5/24,8141,,696,,4468,,,,,,Worldwide,,
,2003/5/26,8202,,725,,4662,,,,,,Worldwide,,
,2003/5/27,8221,,735,,4787,,,,,,Worldwide,,
,2003/5/28,8240,,745,,4891,,,,,,Worldwide,,
,2003/5/29,8295,,750,,4994,,,,,,Worldwide,,
,2003/5/30,8317,,754,,5129,,,,,,Worldwide,,
,2003/5/31,8360,,764,,5264,,,,,,Worldwide,,
,2003/6/2,8384,,770,,5402,,,,,,Worldwide,,
,2003/6/3,8398,,772,,5475,,,,,,Worldwide,,
,2003/6/4,8402,,772,,5746,,,,,,Worldwide,,
,2003/6/5,8403,,775,,5830,,,,,,Worldwide,,
,2003/6/6,8404,,779,,5937,,,,,,Worldwide,,
,2003/6/9,8421,,784,,6280,,,,,,Worldwide,,
,2003/6/10,8430,,789,,6457,,,,,,Worldwide,,
,2003/6/11,8435,,789,,6581,,,,,,Worldwide,,
,2003/6/12,8445,,790,,6670,,,,,,Worldwide,,
,2003/6/13,8454,,792,,6793,,,,,,Worldwide,,
,2003/6/16,8460,,799,,6989,,,,,,Worldwide,,
,2003/6/17,8464,,799,,7091,,,,,,Worldwide,,
,2003/6/18,8465,,801,,7148,,,,,,Worldwide,,
,2003/6/19,8462,,804,,7178,,,,,,Worldwide,,
,2003/6/20,8461,,804,,7218,,,,,,Worldwide,,
,2003/6/23,8459,,805,,7324,,,,,,Worldwide,,
,2003/6/24,8458,,807,,7348,,,,,,Worldwide,,
,2003/6/25,8460,,808,,7365,,,,,,Worldwide,,
,2003/6/26,8456,,809,,7371,,,,,,Worldwide,,
,2003/6/27,8450,,810,,7401,,,,,,Worldwide,,
,2003/6/30,8447,,811,,7417,,,,,,Worldwide,,
,2003/7/1,8445,,812,,7422,,,,,,Worldwide,,
,2003/7/2,8442,,812,,7424,,,,,,Worldwide,,
,2003/7/3,8439,,812,,7427,,,,,,Worldwide,,
,2003/7/4,8439,,812,,7431,,,,,,Worldwide,,
,2003/7/7,8439,,812,,7431,,,,,,Worldwide,,
,2003/7/8,8436,,812,,7433,,,,,,Worldwide,,
,2003/7/9,8436,,812,,7443,,,,,,Worldwide,,
,2003/7/10,8437,,812,,7449,,,,,,Worldwide,,
,2003/7/11,8437,,813,,7452,,,,,,Worldwide,,
,2003/7/11,8437,,813,,7452,,,,,,Worldwide,,
,2003/7/11,8437,,813,,7452,,,,,,Worldwide,,
,2003/7/11,8437,,813,,7452,,,,,,Worldwide,,
,2003/7/11,8437,,813,,7452,,,,,,Worldwide,,
,2003/7/11,8437,,813,,7452,,,,,,Worldwide,,
,2003/7/11,8437,,813,,7452,,,,,,Worldwide,,
,2003/7/11,8437,,813,,7452,,,,,,Worldwide,,
,2003/7/11,8437,,813,,7452,,,,,,Worldwide,,
,2003/7/11,8437,,813,,7452,,,,,,Worldwide,,
,2003/7/11,8437,,813,,7452,,,,,,Worldwide,,
,2003/7/11,8437,,813,,7452,,,,,,Worldwide,,
,2003/7/11,8437,,813,,7452,,,,,,Worldwide,,
,2003/7/11,8437,,813,,7452,,,,,,Worldwide,,
,2003/7/11,8437,,813,,7452,,,,,,Worldwide,,
,2003/7/11,8437,,813,,7452,,,,,,Worldwide,,